,Year,Player,Salary,Position,Team
0,1988,Mike Witt,1400000,Pitcher,Los Angeles Angels
1,1988,George Hendrick,989333,Outfielder,Los Angeles Angels
2,1988,Chili Davis,950000,Outfielder,Los Angeles Angels
3,1988,Brian Downing,900000,Designated Hitter,Los Angeles Angels
4,1988,Bob Boone,883000,Catcher,Los Angeles Angels
5,1988,Johnny Ray,857000,Second Baseman,Los Angeles Angels
6,1988,Dan Petry,785000,Pitcher,Los Angeles Angels
7,1988,Butch Wynegar,733333,Catcher,Los Angeles Angels
8,1988,Dick Schofield,552222,Shortstop,Los Angeles Angels
9,1988,Greg Minton,525000,Pitcher,Los Angeles Angels
10,1988,Tony Rafael Armas,425000,Outfielder,Los Angeles Angels
11,1988,Wally Joyner,340000,First Baseman,Los Angeles Angels
12,1988,Kirk McCaskill,262000,Pitcher,Los Angeles Angels
13,1988,Jack Howell,200000,Third Baseman,Los Angeles Angels
14,1988,Devon White,185000,Outfielder,Los Angeles Angels
15,1988,Willie Fraser,125000,Pitcher,Los Angeles Angels
16,1988,Mark McLemore,122500,Second Baseman,Los Angeles Angels
17,1988,Chuck Finley,111000,Pitcher,Los Angeles Angels
18,1988,Darrell Miller,107500,Catcher,Los Angeles Angels
19,1988,Jack Lazorko,97000,Pitcher,Los Angeles Angels
20,1988,Stew Cliburn,70000,Pitcher,Los Angeles Angels
21,1988,Thad Bosley,62500,Outfielder,Los Angeles Angels
22,1988,Terry Clark,62500,Pitcher,Los Angeles Angels
23,1988,Sherman Corbett,62500,Pitcher,Los Angeles Angels
24,1988,Jim Eppard,62500,Outfielder,Los Angeles Angels
25,1988,Bryan Harvey,62500,Pitcher,Los Angeles Angels
26,1988,Nolan Ryan,1200000,Pitcher,Houston Astros
27,1988,Dave Smith,1100000,Pitcher,Houston Astros
28,1988,Bob Knepper,1025000,Pitcher,Houston Astros
29,1988,Terry Puhl,950000,Outfielder,Houston Astros
30,1988,Rafael Ramirez,950000,Shortstop,Houston Astros
31,1988,Bill Doran,933000,Second Baseman,Houston Astros
32,1988,Brian Bass,880000,Outfielder,Houston Astros
33,1988,Danny Darwin,800000,Pitcher,Houston Astros
34,1988,Buddy Bell,790000,Third Baseman,Houston Astros
35,1988,Mike Scott,666667,Pitcher,Houston Astros
36,1988,Bob Forsch,650000,Pitcher,Houston Astros
37,1988,Joaquin Andujar,570000,Pitcher,Houston Astros
38,1988,Craig Reynolds,500000,Shortstop,Houston Astros
39,1988,Larry Andersen,475000,Pitcher,Houston Astros
40,1988,Alan Ashby,450000,Catcher,Houston Astros
41,1988,Glenn Davis,340000,First Baseman,Houston Astros
42,1988,Billy Hatcher,240000,Outfielder,Houston Astros
43,1988,Jim Deshaies,232500,Pitcher,Houston Astros
44,1988,Juan Agosto,192500,Pitcher,Houston Astros
45,1988,Jim Pankovits,150000,Second Baseman,Houston Astros
46,1988,Gerald Young,85000,Outfielder,Houston Astros
47,1988,Ken Caminiti,80000,Third Baseman,Houston Astros
48,1988,Ty Gainey,70000,Outfielder,Houston Astros
49,1988,John Fishel,62500,Outfielder,Houston Astros
50,1988,Alex Trevino,62500,Catcher,Houston Astros
51,1988,Carney Lansford,1535000,Third Baseman,Oakland Athletics
52,1988,Dave Parker,1000000,Outfielder,Oakland Athletics
53,1988,Bob Welch,937500,Pitcher,Oakland Athletics
54,1988,Rick Honeycutt,855000,Pitcher,Oakland Athletics
55,1988,Dennis Eckersley,700000,Pitcher,Oakland Athletics
56,1988,Dave Stewart,700000,Pitcher,Oakland Athletics
57,1988,Storm Davis,550000,Pitcher,Oakland Athletics
58,1988,Don Baylor,532050,Designated Hitter,Oakland Athletics
59,1988,Gene Nelson,470000,Pitcher,Oakland Athletics
60,1988,Dave Henderson,450000,Outfielder,Oakland Athletics
61,1988,Glenn Hubbard,425000,Second Baseman,Oakland Athletics
62,1988,Matt Young,420000,Pitcher,Oakland Athletics
63,1988,Curt Young,410000,Pitcher,Oakland Athletics
64,1988,Ron Hassey,400000,Catcher,Oakland Athletics
65,1988,Jose Canseco,355000,Outfielder,Oakland Athletics
66,1988,Mark McGwire,280000,First Baseman,Oakland Athletics
67,1988,Tony Phillips,262400,Third Baseman,Oakland Athletics
68,1988,Steve Ontiveros,200000,Pitcher,Oakland Athletics
69,1988,Terry Steinbach,130000,Catcher,Oakland Athletics
70,1988,Luis Polonia,115000,Outfielder,Oakland Athletics
71,1988,Mike Gallego,106900,Second Baseman,Oakland Athletics
72,1988,Eric Plunk,104500,Pitcher,Oakland Athletics
73,1988,Greg Cadaret,96833,Pitcher,Oakland Athletics
74,1988,Stan Javier,85000,Outfielder,Oakland Athletics
75,1988,Matt Sinatro,70000,Catcher,Oakland Athletics
76,1988,Walt Weiss,65000,Shortstop,Oakland Athletics
77,1988,Todd Burns,62500,Pitcher,Oakland Athletics
78,1988,Doug Jennings,62500,Outfielder,Oakland Athletics
79,1988,George Bell,1900000,Outfielder,Toronto Blue Jays
80,1988,Jesse Barfield,1400000,Outfielder,Toronto Blue Jays
81,1988,Dave Stieb,950000,Pitcher,Toronto Blue Jays
82,1988,Jim Clancy,900000,Pitcher,Toronto Blue Jays
83,1988,Lloyd Moseby,882500,Outfielder,Toronto Blue Jays
84,1988,Tony Fernandez,875000,Shortstop,Toronto Blue Jays
85,1988,Ernie Whitt,750000,Catcher,Toronto Blue Jays
86,1988,Tom Henke,725000,Pitcher,Toronto Blue Jays
87,1988,Rance Mulliniks,600000,Third Baseman,Toronto Blue Jays
88,1988,Mike Flanagan,550000,Pitcher,Toronto Blue Jays
89,1988,Jimmy Key,440225,Pitcher,Toronto Blue Jays
90,1988,Rick Leach,325000,Outfielder,Toronto Blue Jays
91,1988,John Cerutti,230000,Pitcher,Toronto Blue Jays
92,1988,Kelly Gruber,130000,Third Baseman,Toronto Blue Jays
93,1988,Fred McGriff,127500,First Baseman,Toronto Blue Jays
94,1988,Jeff Musselman,127000,Pitcher,Toronto Blue Jays
95,1988,Cecil Fielder,125000,First Baseman,Toronto Blue Jays
96,1988,Manuel Lee,103000,Second Baseman,Toronto Blue Jays
97,1988,Sal Butera,100000,Catcher,Toronto Blue Jays
98,1988,David Wells,82000,Pitcher,Toronto Blue Jays
99,1988,Duane Ward,80000,Pitcher,Toronto Blue Jays
100,1988,Nelson Liriano,75000,Second Baseman,Toronto Blue Jays
101,1988,Rob Ducey,71500,Outfielder,Toronto Blue Jays
102,1988,Sil Campusano,62500,Outfielder,Toronto Blue Jays
103,1988,Tony Castillo,62500,Pitcher,Toronto Blue Jays
104,1988,Dale Murphy,2000000,Outfielder,Atlanta Braves
105,1988,Bruce Sutter,1729167,Pitcher,Atlanta Braves
106,1988,Ozzie Virgil,900000,Catcher,Atlanta Braves
107,1988,Rick Mahler,837500,Pitcher,Atlanta Braves
108,1988,Bruce Benedict,715000,Catcher,Atlanta Braves
109,1988,Ted Simmons,470000,First Baseman,Atlanta Braves
110,1988,Zane Smith,450000,Pitcher,Atlanta Braves
111,1988,Jim Acker,435000,Pitcher,Atlanta Braves
112,1988,Gerald Perry,425000,First Baseman,Atlanta Braves
113,1988,Dion James,400000,Outfielder,Atlanta Braves
114,1988,Albert Hall,250000,Outfielder,Atlanta Braves
115,1988,Charlie Puleo,222500,Pitcher,Atlanta Braves
116,1988,Lonnie Smith,150000,Outfielder,Atlanta Braves
117,1988,Andres Thomas,130000,Shortstop,Atlanta Braves
118,1988,Paul Runge,115000,Third Baseman,Atlanta Braves
119,1988,Paul Assenmacher,91000,Pitcher,Atlanta Braves
120,1988,Terry Blocker,70000,Outfielder,Atlanta Braves
121,1988,Jeff Blauser,67000,Second Baseman,Atlanta Braves
122,1988,Ron Gant,65000,Second Baseman,Atlanta Braves
123,1988,Tom Glavine,65000,Pitcher,Atlanta Braves
124,1988,Jim Morrison,65000,Third Baseman,Atlanta Braves
125,1988,Pete Smith,65000,Pitcher,Atlanta Braves
126,1988,Jose Alvarez,62500,Pitcher,Atlanta Braves
127,1988,German Jimenez,62500,Pitcher,Atlanta Braves
128,1988,Jerry Royster,62500,Outfielder,Atlanta Braves
129,1988,John Smoltz,62500,Pitcher,Atlanta Braves
130,1988,Paul Molitor,1775000,Third Baseman,Milwaukee Brewers
131,1988,Robin Yount,1200000,Outfielder,Milwaukee Brewers
132,1988,Teddy Higuera,1025000,Pitcher,Milwaukee Brewers
133,1988,Jim Gantner,937500,Second Baseman,Milwaukee Brewers
134,1988,Jeffrey Leonard,900000,Outfielder,Milwaukee Brewers
135,1988,Greg Brock,600000,First Baseman,Milwaukee Brewers
136,1988,Mark Clear,535000,Pitcher,Milwaukee Brewers
137,1988,Rob Deer,460000,Outfielder,Milwaukee Brewers
138,1988,Mike Young,395000,Outfielder,Milwaukee Brewers
139,1988,Bill Schroeder,372500,Catcher,Milwaukee Brewers
140,1988,Dan Plesac,290000,Pitcher,Milwaukee Brewers
141,1988,Juan Nieves,195000,Pitcher,Milwaukee Brewers
142,1988,Dale Sveum,185000,Shortstop,Milwaukee Brewers
143,1988,Bill Wegman,175000,Pitcher,Milwaukee Brewers
144,1988,B.J. Surhoff,140000,Catcher,Milwaukee Brewers
145,1988,Glenn Braggs,122000,Outfielder,Milwaukee Brewers
146,1988,Chris Bosio,112000,Pitcher,Milwaukee Brewers
147,1988,Paul Mirabella,105000,Pitcher,Milwaukee Brewers
148,1988,Chuck Crim,102500,Pitcher,Milwaukee Brewers
149,1988,Juan B. Castillo,90000,Second Baseman,Milwaukee Brewers
150,1988,Odell Jones,90000,Pitcher,Milwaukee Brewers
151,1988,Mike Birkbeck,75000,Pitcher,Milwaukee Brewers
152,1988,Jim Adduci,72500,Outfielder,Milwaukee Brewers
153,1988,Charlie O'Brien,70000,Catcher,Milwaukee Brewers
154,1988,Dave Stapleton,65000,Pitcher,Milwaukee Brewers
155,1988,Don August,62500,Pitcher,Milwaukee Brewers
156,1988,Joey Meyer,62500,First Baseman,Milwaukee Brewers
157,1988,Ozzie Smith,2340000,Shortstop,St. Louis Cardinals
158,1988,Pedro Guerrero,1720000,First Baseman,St. Louis Cardinals
159,1988,Willie McGee,1215000,Outfielder,St. Louis Cardinals
160,1988,Tony Pena Sr.,1160000,Catcher,St. Louis Cardinals
161,1988,Tom Brunansky,1140000,Outfielder,St. Louis Cardinals
162,1988,Bob Horner,950000,First Baseman,St. Louis Cardinals
163,1988,Danny Cox,750000,Pitcher,St. Louis Cardinals
164,1988,Vince Coleman,715000,Outfielder,St. Louis Cardinals
165,1988,Terry Pendleton,660000,Third Baseman,St. Louis Cardinals
166,1988,Ken Dayley,610000,Pitcher,St. Louis Cardinals
167,1988,Denny Walling,575000,Third Baseman,St. Louis Cardinals
168,1988,Jose DeLeon,430000,Pitcher,St. Louis Cardinals
169,1988,Jose Oquendo,275000,Outfielder,St. Louis Cardinals
170,1988,Steve Lake,240000,Catcher,St. Louis Cardinals
171,1988,Todd Worrell,215000,Pitcher,St. Louis Cardinals
172,1988,Tom Lawless,125000,Third Baseman,St. Louis Cardinals
173,1988,Greg Mathews,125000,Pitcher,St. Louis Cardinals
174,1988,Curt Ford,100000,Outfielder,St. Louis Cardinals
175,1988,Joe Magrane,100000,Pitcher,St. Louis Cardinals
176,1988,Mike Laga,82500,First Baseman,St. Louis Cardinals
177,1988,John Morris,75000,Outfielder,St. Louis Cardinals
178,1988,Scott Terry,75000,Pitcher,St. Louis Cardinals
179,1988,Tom Pagnozzi,72500,First Baseman,St. Louis Cardinals
180,1988,John Costello,62500,Pitcher,St. Louis Cardinals
181,1988,Tim Jones,62500,Shortstop,St. Louis Cardinals
182,1988,Larry McWilliams,62500,Pitcher,St. Louis Cardinals
183,1988,Dan Quisenberry,62500,Pitcher,St. Louis Cardinals
184,1988,Rick Sutcliffe,2070000,Pitcher,Chicago Cubs
185,1988,Andre Dawson,1900000,Outfielder,Chicago Cubs
186,1988,Jody Davis,1108333,Catcher,Chicago Cubs
187,1988,Goose Gossage,1100000,Pitcher,Chicago Cubs
188,1988,Scott Sanderson,950000,Pitcher,Chicago Cubs
189,1988,Ryne Sandberg,865000,Second Baseman,Chicago Cubs
190,1988,Jerry Mumphrey,608000,Outfielder,Chicago Cubs
191,1988,Mitch Webster,550000,Outfielder,Chicago Cubs
192,1988,Frank DiPino,465000,Pitcher,Chicago Cubs
193,1988,Vance Law,400000,Third Baseman,Chicago Cubs
194,1988,Al Nipper,397000,Pitcher,Chicago Cubs
195,1988,Manny Trillo,357500,First Baseman,Chicago Cubs
196,1988,Shawon Dunston,232500,Shortstop,Chicago Cubs
197,1988,Calvin Schiraldi,207500,Pitcher,Chicago Cubs
198,1988,Jamie Moyer,142500,Pitcher,Chicago Cubs
199,1988,Pat Perry,132500,Pitcher,Chicago Cubs
200,1988,Mike Bielecki,110000,Pitcher,Chicago Cubs
201,1988,Angel Salazar,100000,Shortstop,Chicago Cubs
202,1988,Les Lancaster,90000,Pitcher,Chicago Cubs
203,1988,Rafael Palmeiro,90000,Outfielder,Chicago Cubs
204,1988,Greg Maddux,82500,Pitcher,Chicago Cubs
205,1988,Drew Hall,68000,Pitcher,Chicago Cubs
206,1988,Darrin Jackson,63500,Outfielder,Chicago Cubs
207,1988,Damon Berryhill,62500,Catcher,Chicago Cubs
208,1988,Mark Grace,62500,First Baseman,Chicago Cubs
209,1988,Jeff Pico,62500,Pitcher,Chicago Cubs
210,1988,Gary Varsho,62500,Outfielder,Chicago Cubs
211,1988,Fernando Valenzuela,2050000,Pitcher,Los Angeles Dodgers
212,1988,Kirk Gibson,1833333,Outfielder,Los Angeles Dodgers
213,1988,Orel Hershiser,1100000,Pitcher,Los Angeles Dodgers
214,1988,John Tudor,1100000,Pitcher,Los Angeles Dodgers
215,1988,Jesse Orosco,1000000,Pitcher,Los Angeles Dodgers
216,1988,Mike Scioscia,1000000,Catcher,Los Angeles Dodgers
217,1988,Mike Davis,987500,Outfielder,Los Angeles Dodgers
218,1988,Steve Sax,838182,Second Baseman,Los Angeles Dodgers
219,1988,Mike Marshall,760000,Outfielder,Los Angeles Dodgers
220,1988,Alfredo Griffin,750000,Shortstop,Los Angeles Dodgers
221,1988,Jay Howell,595000,Pitcher,Los Angeles Dodgers
222,1988,Rick Horton,532500,Pitcher,Los Angeles Dodgers
223,1988,John Shelby,465000,Outfielder,Los Angeles Dodgers
224,1988,Alejandro Pena,400000,Pitcher,Los Angeles Dodgers
225,1988,Mickey Hatcher,300000,Outfielder,Los Angeles Dodgers
226,1988,Danny Heep,300000,Outfielder,Los Angeles Dodgers
227,1988,Dave Anderson,262500,Shortstop,Los Angeles Dodgers
228,1988,Rick Dempsey,250000,Catcher,Los Angeles Dodgers
229,1988,Franklin Stubbs,235000,First Baseman,Los Angeles Dodgers
230,1988,Tim Leary,190000,Pitcher,Los Angeles Dodgers
231,1988,Brian Holton,90000,Pitcher,Los Angeles Dodgers
232,1988,Jeff Hamilton,82500,Third Baseman,Los Angeles Dodgers
233,1988,Tim Belcher,78000,Pitcher,Los Angeles Dodgers
234,1988,Jose Gonzalez,70000,Outfielder,Los Angeles Dodgers
235,1988,Tracy Woodson,68000,Third Baseman,Los Angeles Dodgers
236,1988,Ramon J. Martinez,62500,Pitcher,Los Angeles Dodgers
237,1988,Mario Soto,62500,Pitcher,Los Angeles Dodgers
238,1988,Brett Butler,900000,Outfielder,San Francisco Giants
239,1988,Mike Krukow,900000,Pitcher,San Francisco Giants
240,1988,Don Robinson,900000,Pitcher,San Francisco Giants
241,1988,Atlee Hammaker,850000,Pitcher,San Francisco Giants
242,1988,Rick Reuschel,800000,Pitcher,San Francisco Giants
243,1988,Candy Maldonado,750000,Outfielder,San Francisco Giants
244,1988,Dave Dravecky,700000,Pitcher,San Francisco Giants
245,1988,Scott Garrelts,625000,Pitcher,San Francisco Giants
246,1988,Bob Brenly,600000,Catcher,San Francisco Giants
247,1988,Craig Lefferts,575000,Pitcher,San Francisco Giants
248,1988,Jose Uribe,535000,Shortstop,San Francisco Giants
249,1988,Mike Lacoss,500000,Pitcher,San Francisco Giants
250,1988,Chris Speier,400000,Second Baseman,San Francisco Giants
251,1988,Joe Price,376000,Pitcher,San Francisco Giants
252,1988,Phil Garner,375000,Second Baseman,San Francisco Giants
253,1988,Will Clark,345000,First Baseman,San Francisco Giants
254,1988,Joel Youngblood,320000,Outfielder,San Francisco Giants
255,1988,Ernest Riles,264500,Third Baseman,San Francisco Giants
256,1988,Robby Thompson,257500,Second Baseman,San Francisco Giants
257,1988,Kevin Mitchell,237500,Third Baseman,San Francisco Giants
258,1988,Mike Aldrete,160000,Outfielder,San Francisco Giants
259,1988,Kelly Downs,160000,Pitcher,San Francisco Giants
260,1988,Bob Melvin,145000,Catcher,San Francisco Giants
261,1988,Lary Sorensen,100000,Pitcher,San Francisco Giants
262,1988,Matt D. Williams,75000,Third Baseman,San Francisco Giants
263,1988,Donell Nixon,72500,Outfielder,San Francisco Giants
264,1988,Francisco Melendez,70000,First Baseman,San Francisco Giants
265,1988,Terry Mulholland,70000,Pitcher,San Francisco Giants
266,1988,Jeff Brantley,62500,Pitcher,San Francisco Giants
267,1988,Roger Samuels,62500,Pitcher,San Francisco Giants
268,1988,Julio Franco,975000,Second Baseman,Cleveland Indians
269,1988,Willie Upshaw,900000,First Baseman,Cleveland Indians
