ID,ORIGIN,Company,Address1,Address2,Address3,Address4,Postcode,Area,Type,Regdate,RegFree, AnnualSubScription 
1,TRADER,Justerini & Brooks Ltd.,61 St James Street,London,,,SW1A 1LZ,London,Wholesaler,20/10/2022 16:07,10.00, 2.00 
2,TRADER,Bramley Ferry Supplies Ltd.,Whitewall Road,Medway City Estate,Rochester,Kent,ME2 4EW,Home Counties,Wholesaler,19/10/2022 16:07,20.00, 4.00 
3,TRADER,Vinifera Wines,Church Gate House,Old Heathfield,East Sussex,,TN21 9AG,Home Counties,Wholesaler,18/10/2022 16:07,30.00, 6.00 
4,TRADER,Tanners Wines Ltd,Wine & Spirit Merchants,36 High Street,Bridgnorth,,WV16 4DB,Birmingham,Regional Specialist Retailer,17/10/2022 16:07,40.00, 8.00 
5,TRADER,Vinoceros,24 Grange Close,Godalming,Surrey,,GU7 1XT,Home Counties,Wholesaler,16/10/2022 16:07,50.00, 10.00 
6,TRADER,,6 Park Crescent,Worthing,,,BN11 4AH,South Coast,Other,15/10/2022 16:07,60.00, 12.00 
7,TRADER,Southward Wines,Farm Lane,Aldbourne,Marlborough,,SN8 2DS,South West inc Bristol,Wholesaler,14/10/2022 16:07,70.00, 14.00 
8,TRADER,Southward Wines,Farm Lane,Aldbourne,Marlborough,,SN8 2DS,South West inc Bristol,Wholesaler,13/10/2022 16:07,80.00, 16.00 
9,TRADER,,13 Gordon Road,Chiswick,London,,W4 3LU,London,Other,12/10/2022 16:07,90.00, 18.00 
10,TRADER,Baker & Oven,10 Paddington Street,London,,,W1M 3LA,London,Restaurant/Hotel,11/10/2022 16:07,100.00, 20.00 
11,TRADER,Searsons Wine Merchants,6A Monkstow Cres,Black Rock County,Dublin,Ireland,,Ireland,Wholesaler,10/10/2022 16:07,110.00, 22.00 
12,TRADER,Audleys Wood Hotel,Alton Road,Basingstoke,Hants,,RG25 2JT,South Coast,Restaurant/Hotel,09/10/2022 16:07,120.00, 24.00 
13,TRADER,Davenport Wine Co,Upton Grey,Hampshire,,,RG25 2RA,Home Counties,Wholesaler,08/10/2022 16:07,130.00, 26.00 
14,TRADER,Georgian Hotel,High Street,Haslemere,Surrey,,GU27 2JY,Home Counties,Restaurant/Hotel,07/10/2022 16:07,140.00, 28.00 
